"","logFC","logCPM","LR","PValue","FDR"
"208635_x_at",-6.32023002233901,8.88068158898104,5003.73299731297,0,0
"209250_at",-6.3144034463519,8.53720373921384,4425.20991775881,0,0
"201010_s_at",-6.31055614847277,8.41917989333001,16972.6728401113,0,0
"212191_x_at",-6.30737031958486,8.84062769168658,3335.52405059962,0,0
"217731_s_at",-6.30493595122891,8.5166820498698,5520.17898175956,0,0
"200781_s_at",-6.29391744554921,8.87222749912245,3970.36587923385,0,0
"200038_s_at",-6.29066381585298,8.85933527594686,4189.93349951394,0,0
"234989_at",-6.28982810352972,8.55495880349306,6426.22660910623,0,0
"208894_at",-6.28344172381011,8.05323570358498,8857.70255351283,0,0
"202649_x_at",-6.28186539654739,8.84598407300674,4259.41730997372,0,0
"200834_s_at",-6.26703617568834,8.84337451188086,4846.63900466321,0,0
"211927_x_at",-6.2604836140215,8.82763181418222,4511.95427564884,0,0
"224565_at",-6.25470393868561,8.58557767442096,5490.86594650584,0,0
"200809_x_at",-6.25198811733284,8.83722849684866,6185.36140268252,0,0
"214271_x_at",-6.25081980103318,8.82479577691035,4842.21706158017,0,0
"213867_x_at",-6.24397121870677,8.85532502374227,4133.14022167531,0,0
"208692_at",-6.24000102553318,8.81412034663065,2510.86993779391,0,0
"201665_x_at",-6.23940461663544,8.84081941040109,3547.06360055848,0,0
"234873_x_at",-6.23757411171939,8.74793190717178,4657.27978726585,0,0
"213801_x_at",-6.23244531423771,8.8181068535778,3639.01549738435,0,0
"221607_x_at",-6.22394160041661,8.82031341799723,4525.53243604459,0,0
"200016_x_at",-6.21759598325,8.79501125602991,5999.77401607988,0,0
"200029_at",-6.21422595448894,8.80656470368215,4830.03520319705,0,0
"200010_at",-6.21392951846375,8.78868063667001,5758.80423192777,0,0
"224594_x_at",-6.20240916451204,8.83660884051508,3845.72375595249,0,0
"200819_s_at",-6.19989103526974,8.84279404469014,4946.49608689404,0,0
"211972_x_at",-6.19894251415415,8.81549055759971,3072.71564570841,0,0
"201550_x_at",-6.19556853223784,8.81132473841012,4533.16768099874,0,0
"200949_x_at",-6.19545023940418,8.78621706994275,4767.24264292978,0,0
"200025_s_at",-6.19190039219416,8.7905980797283,4275.37604809343,0,0
"211487_x_at",-6.18931392804332,8.83469663636664,4057.55264716172,0,0
"211995_x_at",-6.18703115793257,8.79812379712658,4389.06793096436,0,0
"224585_x_at",-6.18373368740931,8.80310006394706,4532.25043536875,0,0
"214143_x_at",-6.18031244317617,8.78455146811569,8984.87350728168,0,0
"213214_x_at",-6.17711629360667,8.77718882116752,4861.21473042835,0,0
"211942_x_at",-6.16057324864726,8.76105588290899,3735.49016528601,0,0
"202029_x_at",-6.15493438890971,8.76439531239823,3739.13647523459,0,0
"211956_s_at",-6.15191586302147,8.75483042799223,3552.83892114989,0,0
"AFFX-HSAC07/X00351_3_at",-6.15097798158989,8.76291139896101,5207.19155724786,0,0
"232164_s_at",-6.1463236864434,7.39196731226509,1504.97138681602,0,0
"212661_x_at",-6.1463040754558,8.80202298143531,4865.60805837962,0,0
"211983_x_at",-6.14548166187074,8.75857448942171,4461.78449260558,0,0
"205382_s_at",-6.14428909058841,7.89390007835311,2413.49501137304,0,0
"200012_x_at",-6.12926121981758,8.75370732343679,3638.18296042189,0,0
"213890_x_at",-6.12671821476893,8.77119306648505,5311.4157545408,0,0
"211978_x_at",-6.11312826651883,8.76829490005533,4519.31496772907,0,0
"211710_x_at",-6.10493209733769,8.73776584393367,4497.00932727518,0,0
"209140_x_at",-6.10469120521629,8.48612928954145,4473.88816871477,0,0
"200002_at",-6.10376443366772,8.71059421062467,3541.71818230866,0,0
"211666_x_at",-6.10142220268399,8.72079367569934,4358.44005691478,0,0
"212537_x_at",-6.10066521023335,8.72780305393493,4730.78417697486,0,0
"212578_x_at",-6.09463250131757,8.73705677467907,3738.48744883198,0,0
"201293_x_at",-6.09080104050311,8.75976575815037,4405.79248111289,0,0
"200080_s_at",-6.09060588032128,8.62241175825664,3981.98567064633,0,0
"211765_x_at",-6.08622958115749,8.74972511062023,4543.15421293064,0,0
"212270_x_at",-6.08350035078022,8.71561393830972,4304.77157212346,0,0
"211970_x_at",-6.08159918842977,8.71067454115108,4282.59088864074,0,0
"208980_s_at",-6.08023404961964,8.6902426602764,11413.6223913794,0,0
"200858_s_at",-6.07799624619091,8.64445063501705,3735.61265203036,0,0
"213503_x_at",-6.07706710998212,8.63422256818194,6689.11037970591,0,0
"201154_x_at",-6.07658835149653,8.71127646893229,4843.84424651752,0,0
"224566_at",-6.06924300766541,8.41627665388284,4279.10645711545,0,0
"209312_x_at",-6.06522288802672,7.97074589287188,3381.30241543273,0,0
"212988_x_at",-6.06099417148988,8.6997541674695,3944.46478926818,0,0
"213969_x_at",-6.05701760571683,8.69657767736034,3572.65736774078,0,0
"217744_s_at",-6.05584197137895,8.28121372228784,2333.8151124876,0,0
"213932_x_at",-6.05491109860759,8.56833793215757,2758.25664502337,0,0
"200091_s_at",-6.05401282330848,8.64034981454415,4798.58028136417,0,0
"200651_at",-6.05329507662817,8.68297801121629,3434.01744525367,0,0
"200034_s_at",-6.04685130400719,8.69062074936897,4599.60561643761,0,0
"208904_s_at",-6.03646494614128,8.68586165803268,3438.6006219325,0,0
"213941_x_at",-6.03459858543442,8.68164334660855,3987.54639831304,0,0
"212933_x_at",-6.03126069962802,8.59702866143637,3775.05429470557,0,0
"210427_x_at",-6.02651191766997,8.61464761855292,6183.41702912698,0,0
"211378_x_at",-6.01955406087474,8.70732259724544,4585.89987349883,0,0
"222549_at",-6.01676284410537,7.92043492617076,3262.53531640718,0,0
"200888_s_at",-6.01390384214069,8.64625843011557,4694.36957816303,0,0
"213828_x_at",-6.01343481538834,8.60987412722643,19844.6179330934,0,0
"201590_x_at",-6.01252928461044,8.61271636902795,6369.02196556648,0,0
"211345_x_at",-5.99829135325361,8.62795881847673,4391.02746751887,0,0
"211997_x_at",-5.99825753203511,8.56576441211788,11352.672414865,0,0
"200089_s_at",-5.99589824963272,8.62000897659948,6276.48231159147,0,0
"217747_s_at",-5.99245942454749,8.58764503625489,6544.1174823351,0,0
"212363_x_at",-5.9905965279977,8.65875679741465,4117.69584759263,0,0
"225190_x_at",-5.99001403154777,8.64330169949751,13532.7693903738,0,0
"208755_x_at",-5.98752415376791,8.5968609799671,9789.23005366194,0,0
